,country_name,year,FDI4,control_corrupcion,gobierno_eficacia,estabilidad_politica,calidad_regulatoria,estado_derecho,voz_rendicion,tiempo_negocios,hdi,v2x_polyarchy,v2cacamps,v2caviol,v2cagenmob,v2x_regime,v2x_corr,v2x_rule,v2xcl_prpty,e_gdp,e_miinflat,economic_freedom
0,Afghanistan,1960,,,,,,,,,,0.08,,,,Closed Autocracy,0.464,0.416,0.113,2120.282,,
1,Afghanistan,1961,,,,,,,,,,0.083,,,,Closed Autocracy,0.464,0.416,0.113,2150.457,,
2,Afghanistan,1962,,,,,,,,,,0.082,,,,Closed Autocracy,0.464,0.416,0.113,2179.549,,
3,Afghanistan,1963,,,,,,,,,,0.085,,,,Closed Autocracy,0.464,0.395,0.113,2202.527,,
4,Afghanistan,1964,,,,,,,,,,0.137,,,,Closed Autocracy,0.464,0.428,0.144,2250.025,,
5,Afghanistan,1965,,,,,,,,,,0.15,,,,Closed Autocracy,0.464,0.428,0.181,2303.118,,
6,Afghanistan,1966,,,,,,,,,,0.161,,,,Closed Autocracy,0.464,0.428,0.181,2342.521,,
7,Afghanistan,1967,,,,,,,,,,0.163,,,,Closed Autocracy,0.464,0.428,0.181,2379.389,,
8,Afghanistan,1968,,,,,,,,,,0.163,,,,Closed Autocracy,0.464,0.428,0.181,2423.974,,
9,Afghanistan,1969,,,,,,,,,,0.162,,,,Closed Autocracy,0.464,0.428,0.181,2449.23,,
10,Afghanistan,1970,230000.0,,,,,,,,,0.16,,,,Closed Autocracy,0.464,0.428,0.181,2450.991,,
11,Afghanistan,1971,450000.0,,,,,,,,,0.16,,,,Closed Autocracy,0.464,0.428,0.181,2402.611,,
12,Afghanistan,1972,150000.0,,,,,,,,,0.156,,,,Closed Autocracy,0.479,0.418,0.181,2309.488,,
13,Afghanistan,1973,270000.0,,,,,,,,,0.152,,,,Electoral Autocracy,0.511,0.41,0.183,2320.641,,
14,Afghanistan,1974,,,,,,,,,,0.103,,,,Closed Autocracy,0.513,0.4,0.173,2376.875,,
15,Afghanistan,1975,,,,,,,,,,0.104,,,,Closed Autocracy,0.513,0.4,0.173,2421.531,,
16,Afghanistan,1976,40000.0,,,,,,,,,0.104,,,,Closed Autocracy,0.513,0.4,0.173,2482.263,,
17,Afghanistan,1977,-240000.0,,,,,,,,,0.101,,,,Closed Autocracy,0.513,0.4,0.173,2494.02,,
18,Afghanistan,1978,,,,,,,,,,0.086,,,,Closed Autocracy,0.54,0.261,0.134,2529.372,,
19,Afghanistan,1979,1200000.0,,,,,,,,,0.081,,,,Closed Autocracy,0.553,0.241,0.105,2553.426,,
20,Afghanistan,1980,9000000.0,,,,,,,,,0.082,,,,Closed Autocracy,0.553,0.227,0.115,2573.238,,
21,Afghanistan,1981,180000.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.242,0.115,2631.751,,
22,Afghanistan,1982,100000.0,,,,,,,,,0.082,,,,Closed Autocracy,0.553,0.247,0.115,2691.365,,
23,Afghanistan,1983,0.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.247,0.115,2729.018,,
24,Afghanistan,1984,0.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.247,0.115,2722.819,,
25,Afghanistan,1985,0.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.247,0.115,2689.741,,
26,Afghanistan,1986,0.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.247,0.115,2616.922,,
27,Afghanistan,1987,400000.0,,,,,,,,,0.083,,,,Closed Autocracy,0.553,0.247,0.115,2470.606,,
28,Afghanistan,1988,0.0,,,,,,,,,0.09,,,,Closed Autocracy,0.553,0.248,0.115,2316.702,,
29,Afghanistan,1989,0.0,,,,,,,,,0.093,,,,Closed Autocracy,0.553,0.248,0.115,2173.033,,
30,Afghanistan,1990,10.0,,,,,,,,0.273,0.093,,,,Closed Autocracy,0.547,0.235,0.078,2066.23,,
31,Afghanistan,1991,-280000.0,,,,,,,,0.279,0.094,,,,Closed Autocracy,0.547,0.188,0.074,1952.896,,
32,Afghanistan,1992,360000.0,,,,,,,,0.287,0.094,2.838,3.111,,Closed Autocracy,0.69,0.109,0.077,1841.902,,
33,Afghanistan,1993,-20000.0,,,,,,,,0.297,0.092,2.838,3.111,,Closed Autocracy,0.883,0.051,0.087,1675.938,,
34,Afghanistan,1994,20000.0,,,,,,,,0.292,0.092,2.838,3.111,,Closed Autocracy,0.883,0.051,0.087,1573.033,,
35,Afghanistan,1995,-93326.6,,,,,,,,0.31,0.092,2.838,3.111,,Closed Autocracy,0.887,0.055,0.087,1660.861,,
36,Afghanistan,1996,690000.0,-1.29170477390289,-2.17516660690308,-2.41730952262878,-2.09033036231995,-1.78807544708252,-1.90854012966156,,0.319,0.074,2.838,3.111,,Closed Autocracy,0.841,0.084,0.065,1677.632,,
37,Afghanistan,1997,-1460000.0,,,,,,,,0.323,0.072,2.838,3.111,,Closed Autocracy,0.762,0.125,0.065,1655.383,,
38,Afghanistan,1998,-10000.0,-1.17601227760315,-2.10229182243347,-2.42735457420349,-2.06287217140198,-1.73488676548004,-2.03930115699768,,0.324,0.072,2.838,2.01,,Closed Autocracy,0.762,0.12,0.065,1636.416,,
39,Afghanistan,1999,6040000.0,,,,,,,,0.332,0.072,2.838,2.01,,Closed Autocracy,0.762,0.12,0.065,1633.838,,
40,Afghanistan,2000,170000.0,-1.27172422409058,-2.17394614219666,-2.43896889686584,-2.0802526473999,-1.78066074848175,-2.03141713142395,,0.335,0.072,2.24,2.01,1.377,Closed Autocracy,0.762,0.12,0.065,1678.432,,
41,Afghanistan,2001,680000.0,,,,,,,,0.337,0.082,0.026,2.01,-0.69,Closed Autocracy,0.776,0.143,0.076,1817.853,,
42,Afghanistan,2002,50000000.0,-1.25113701820374,-1.58768701553345,-2.03503370285034,-1.81154572963715,-1.67347323894501,-1.43342101573944,,0.362,0.223,0.026,1.487,-0.69,Closed Autocracy,0.901,0.184,0.486,2209.482,,
43,Afghanistan,2003,57799999.9,-1.34417974948883,-1.12741959095001,-2.19837236404419,-1.46310782432556,-1.5582937002182,-1.1775711774826,,0.376,0.23,0.026,1.487,-0.69,Closed Autocracy,0.901,0.176,0.486,2487.328,,
44,Afghanistan,2004,186900000.0,-1.35064733028412,-0.909888744354248,-2.29568219184875,-1.51154899597168,-1.6939252614975,-1.20303392410278,9.5,0.392,0.24,0.026,1.487,-0.69,Electoral Autocracy,0.908,0.18,0.486,2667.526,,
45,Afghanistan,2005,271000000.0,-1.44725239276886,-1.2172384262085,-2.06750988960266,-1.64344024658203,-1.66296553611755,-1.12542963027954,9.5,0.4,0.335,0.026,2.005,-0.043,Electoral Autocracy,0.921,0.176,0.486,2912.684,12.086,
46,Afghanistan,2006,238000000.0,-1.44629228115082,-1.46551132202148,-2.21913456916809,-1.68946862220764,-1.87900483608246,-1.11029398441315,9.5,0.409,0.397,0.026,2.64,-0.315,Electoral Autocracy,0.938,0.17,0.486,3182.829,3.514,
47,Afghanistan,2007,188690000.0,-1.61325109004974,-1.44346809387207,-2.4133734703064,-1.70887231826782,-1.85256004333496,-1.05765390396118,10.5,0.424,0.397,0.026,2.64,-0.315,Electoral Autocracy,0.94,0.169,0.486,3530.665,16.975,
48,Afghanistan,2008,46033740.0,-1.67209553718567,-1.53343546390533,-2.69136095046997,-1.60716688632965,-1.90330755710602,-1.16890180110931,10.5,0.43,0.403,0.026,2.64,-0.315,Electoral Autocracy,0.94,0.17,0.486,3820.967,22.691,
49,Afghanistan,2009,56107246.5,-1.55229878425598,-1.51100194454193,-2.71142148971558,-1.66450762748718,-1.87611877918243,-1.37549519538879,9.5,0.44,0.392,0.026,2.64,-0.026,Electoral Autocracy,0.94,0.171,0.486,4358.142,-13.226,
50,Afghanistan,2010,190774431.98,-1.64539110660553,-1.48080575466156,-2.57915186882019,-1.51652824878693,-1.87005805969238,-1.40446734428406,9.5,0.448,0.374,0.026,2.759,-0.297,Electoral Autocracy,0.942,0.169,0.518,4817.654,12.881,
51,Afghanistan,2011,52173421.0,-1.60047078132629,-1.47703349590302,-2.50205969810486,-1.53632390499115,-1.9225001335144,-1.33597695827484,9.5,0.456,0.378,0.026,2.598,-0.297,Electoral Autocracy,0.942,0.168,0.518,5198.016,,
52,Afghanistan,2012,56823660.0,-1.43037283420563,-1.37641882896423,-2.41856145858765,-1.19257974624634,-1.6518931388855,-1.26743006706238,9.5,0.466,0.381,0.026,2.598,0.168,Electoral Autocracy,0.945,0.158,0.518,5619.574,,
53,Afghanistan,2013,48311346.0,-1.44590842723846,-1.4007453918457,-2.51934909820557,-1.19309020042419,-1.60911154747009,-1.24006843566895,6.5,0.474,0.378,0.172,2.598,0.168,Electoral Autocracy,0.922,0.178,0.579,5976.67,,
54,Afghanistan,2014,42975262.5,-1.36474287509918,-1.36231827735901,-2.41106843948364,-1.12413370609283,-1.43704450130463,-1.13543999195099,8.5,0.479,0.377,0.172,3.102,0.66,Electoral Autocracy,0.918,0.182,0.579,6156.47,,
55,Afghanistan,2015,169146608.0,-1.3485871553421,-1.35180771350861,-2.57122182846069,-1.00620818138123,-1.49849236011505,-1.11755669116974,8.5,0.478,0.376,0.172,3.102,0.438,Electoral Autocracy,0.891,0.209,0.579,6252.8,,
56,Afghanistan,2016,93591315.3,-1.53404927253723,-1.25418150424957,-2.67105388641357,-1.33658170700073,-1.51238059997559,-1.03778803348541,8.5,0.481,0.353,0.172,3.102,0.438,Electoral Autocracy,0.893,0.197,0.454,6406.197,,
57,Afghanistan,2017,51533896.765,-1.52172565460205,-1.35992228984833,-2.80108380317688,-1.35537278652191,-1.5775955915451,-0.990813970565796,8.5,0.482,0.354,0.172,3.102,0.438,Electoral Autocracy,0.886,0.208,0.481,6577.23,,48.9
58,Afghanistan,2018,119435105.715177,-1.48977172374725,-1.47929918766022,-2.76386427879334,-1.14759039878845,-1.6813577413559,-1.01160001754761,8.5,0.483,0.354,0.172,3.102,0.438,Electoral Autocracy,0.886,0.218,0.535,6664.211,,51.3
59,Afghanistan,2019,23404553.647249,-1.40771043300629,-1.49562668800354,-2.65553116798401,-1.12304580211639,-1.72789442539215,-1.00674676895142,8.5,0.488,0.353,0.172,3.102,0.438,Electoral Autocracy,0.889,0.212,0.578,6775.201,,51.5
60,Afghanistan,2020,12970147.9832,-1.48053777217865,-1.58514487743378,-2.70502972602844,-1.40276098251343,-1.81989753246307,-1.07773637771606,,0.483,0.356,0.172,3.102,0.859,Electoral Autocracy,0.869,0.236,0.624,,,54.7
61,Afghanistan,2021,20600976.1,-1.14237689971924,-1.63436961174011,-2.52985525131226,-1.33802223205566,-1.87143611907959,-1.57088327407837,,0.478,0.158,1.26,1.655,0.472,Electoral Autocracy,0.417,0.362,0.388,,,53.0
62,Afghanistan,2022,,,,,,,,,,0.082,1.971,2.097,-0.491,Closed Autocracy,0.448,0.206,0.193,,,
63,Albania,1960,,,,,,,,,,0.176,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,408.698,,
64,Albania,1961,,,,,,,,,,0.176,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,433.899,,
65,Albania,1962,,,,,,,,,,0.175,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,460.435,,
66,Albania,1963,,,,,,,,,,0.174,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,491.561,,
67,Albania,1964,,,,,,,,,,0.174,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,525.133,,
68,Albania,1965,,,,,,,,,,0.174,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,557.877,,
69,Albania,1966,,,,,,,,,,0.174,1.901,0.658,-1.663,Closed Autocracy,0.05,0.525,0.007,593.232,,
70,Albania,1967,,,,,,,,,,0.174,1.901,0.658,-1.312,Closed Autocracy,0.05,0.525,0.004,630.542,,
71,Albania,1968,,,,,,,,,,0.174,1.901,0.658,-1.312,Closed Autocracy,0.05,0.525,0.004,671.766,,
72,Albania,1969,,,,,,,,,,0.174,1.901,0.3,-1.625,Closed Autocracy,0.05,0.525,0.004,709.943,,
73,Albania,1970,,,,,,,,,,0.174,1.901,0.3,-2.003,Closed Autocracy,0.05,0.525,0.004,743.825,,
74,Albania,1971,,,,,,,,,,0.173,1.901,0.3,-2.003,Closed Autocracy,0.05,0.525,0.004,781.713,,
