country_name,year,FDI4,estabilidad_politica,tiempo_negocios,hdi,v2x_polyarchy,v2cacamps,v2caviol,v2cagenmob,v2x_corr,v2xcl_prpty,e_gdp,e_miinflat,economic_freedom,Factor_gobernanza
Argentina,1996,6948536686.64725,0.111376881599426,9.4,0.751,0.829,0.021,-1.206,0.71,0.522,0.868,48448.875,0.156,0.747,0.267346600064681
Argentina,1997,9160272052.4446,0.0958238765597343,41.5,0.756,0.829,0.021,-1.206,0.71,0.522,0.868,51318.85,0.529,0.733,0.184209347559165
Argentina,1998,7290657132.08156,-0.134649589657784,9.4,0.762,0.833,0.021,-1.206,0.71,0.522,0.868,52451.113,0.925,0.709,0.235208950767711
Argentina,1999,23987696389.6428,-0.116048209369183,7,0.773,0.832,0.021,-1.206,0.71,0.522,0.868,51153.126,-1.167,0.706,0.305101709364683
Argentina,2000,10418314339.1428,0.0958238765597343,26,0.779,0.84,0.021,-1.206,1.173,0.403,0.868,50292.059,-0.939,0.7,0.0375571790226957
Argentina,2001,2166136829.76399,-0.282882064580917,41,0.784,0.84,0.021,-1.206,3.045,0.403,0.922,47854.374,-1.065,0.686,0.295445647446406
Argentina,2002,2148910000,-0.776545405387878,8,0.785,0.832,0.021,-1.206,2.047,0.42,0.922,45242.915,25.869,0.657,-0.440500233788714
Argentina,2003,1652010000,-0.359838128089905,65.5,0.793,0.813,0.404,-1.206,1.812,0.447,0.922,47013.749,13.443,0.563,-0.382753805268525
Argentina,2004,4124710000,-0.610934913158417,29.5,0.798,0.808,0.404,-1.206,1.812,0.447,0.922,50853.103,4.416,0.539,-0.355702448429326
Argentina,2005,5265250000,-0.0417749434709549,29.5,0.802,0.806,0.874,-1.206,1.812,0.447,0.922,54973.434,9.642,0.517,-0.266104164212494
Argentina,2006,5537347786.19331,0.00196776282973588,29.5,0.814,0.796,0.874,-1.206,1.812,0.447,0.922,59257.063,10.898,0.534,-0.257332141882873
Argentina,2007,6473157762.12915,0.0977966338396072,29.5,0.817,0.795,0.874,-1.206,1.812,0.447,0.922,64004.278,8.83,0.54,-0.27008414569419
Argentina,2008,9725553129.52469,-0.0877556875348091,30,0.825,0.79,0.874,-1.206,1.812,0.447,0.922,67044.691,8.585,0.5415389211,-0.363849801543896
Argentina,2009,4017158924.88408,-0.234854578971863,25,0.827,0.777,0.874,-1.206,1.812,0.447,0.922,66802.882,6.27,0.523156365,-0.424414717834858
Argentina,2010,11332718626.4345,-0.0847978666424751,24.5,0.834,0.776,0.874,-1.206,1.812,0.447,0.922,71367.171,10.649,0.512,-0.307387838461014
Argentina,2011,10839930944.6815,0.158993661403656,24.5,0.841,0.778,1.168,-1.206,1.812,0.447,0.922,75637.143,6.884,0.517,-0.279190405351131
Argentina,2012,15323933916.8241,0.103040546178818,24.5,0.843,0.78,1.168,-1.206,2.645,0.447,0.922,76870.952,1058.37,0.48,-0.37968961437709
Argentina,2013,9821661858.15874,0.0653142631053925,24.5,0.845,0.788,1.936,-1.206,1.784,0.469,0.922,77886.474,10.898,0.467,-0.408445244465922
Argentina,2014,5065335541.96486,-0.00512187136337161,24.5,0.846,0.792,1.936,-1.206,1.784,0.469,0.922,77491.635,9.4,0.446,-0.501799575972159
Argentina,2015,11758994011.286,0.014785380102694,24.5,0.848,0.777,1.936,-1.206,1.784,0.447,0.922,78531.535,10.649,0.441,-0.39323818401319
Argentina,2016,3260164341.77393,0.204625502228737,24.5,0.847,0.752,1.936,-1.206,1.784,0.429,0.922,78566.494,9.642,0.438,-0.018304512850537
Argentina,2017,11516861462.2845,0.169504255056381,24.5,0.851,0.746,1.936,-1.206,1.784,0.429,0.922,80302.152,9.642,0.504,0.0192088559896211
Argentina,2018,11716769818.7543,0.0108913751319051,11,0.85,0.767,1.936,-1.206,1.784,0.42,0.922,79797.987,8.585,0.523,0.036619805580779
Argentina,2019,6649187837.98606,-0.0914442017674446,11.5,0.852,0.771,1.936,-1.206,1.131,0.428,0.922,78294.101,8.585,0.522,-0.124467351643636
Barbados,1996,15836484.06,1.05037176609039,16,0.744,0.762,-3.377,-2.655,-1.62,0.093,0.883,510.35,2.39,0.623,1.4158703702173
Barbados,1997,28203499.05,0.309247434139252,12,0.747,0.762,-3.377,-2.655,-1.62,0.093,0.883,527.187,7.71,0.645,-0.0264165309016247
Barbados,1998,29160482.23,1.08426582813263,14,0.748,0.762,-3.377,-2.655,-1.62,0.093,0.883,545.983,-1.27,0.679,1.49202810933971
Barbados,1999,47539505.12,0.402350127696991,43,0.75,0.758,-3.377,-2.655,-1.62,0.093,0.883,552.287,1.56,0.667,0.980491063458328
Barbados,2000,73696943.905,1.15119981765747,26,0.756,0.758,-3.377,-2.655,-1.62,0.093,0.883,558.553,2.44,0.695,1.55097598711665
Barbados,2001,91504910.94,1.04420638084412,19,0.756,0.758,-3.377,-2.655,-1.62,0.093,0.883,550.108,2.58,0.715,1.5235652880206
Barbados,2002,228343253.8,1.09719908237457,42,0.76,0.758,-3.377,-2.655,-1.62,0.093,0.883,548.998,0.13,0.736,1.56126724708925
Barbados,2003,184701288.595,0.918948590755463,43,0.765,0.76,-3.377,-2.655,-1.62,0.093,0.883,552.745,1.62,0.713,1.5718719251663
Barbados,2004,228334500,1.09435272216797,18,0.77,0.762,-3.377,-2.655,-1.62,0.093,0.883,564.794,1.39,0.694,1.46792587320901
Barbados,2005,390061395.8643,1.11291885375977,45,0.776,0.762,-3.377,-2.655,-1.62,0.093,0.883,576.864,6.08,0.701,1.45690748806055
Barbados,2006,342267498.215,0.91321188211441,18,0.781,0.762,-3.377,-2.655,-1.317,0.093,0.883,588.819,7.31,0.719,1.41431138989868
Barbados,2007,476404576.96,1.04420638084412,16,0.786,0.762,-3.377,-2.655,-1.651,0.093,0.883,598.787,4.03,0.7,1.44722126653716
Barbados,2008,615122884.63,1.06835830211639,16,0.789,0.78,-3.377,-2.655,-1.651,0.093,0.883,586.999,8.1,0.7133224696,1.46123123681941
Barbados,2009,356008255.11,1.04774069786072,19,0.791,0.781,-3.377,-2.655,-1.651,0.093,0.883,559.009,3.6,0.7153106033,1.28447978467179
Barbados,2010,425337312.585,1.06063663959503,9.7,0.788,0.781,-3.377,-2.655,-1.651,0.099,0.883,539.819,5.8,0.683,1.30324799356658
Barbados,2011,459552936.365,1.24613010883331,18,0.784,0.781,-2.877,-2.655,-1.651,0.099,0.883,525.545,2.39,0.685,1.37492007575853
Barbados,2012,528045664.5074,1.18596565723419,18,0.787,0.781,-3.379,-2.655,-1.651,0.099,0.883,513.237,0.1,0.69,1.31441458654666
Barbados,2013,104089451.159478,1.26692914962769,18,0.787,0.773,-3.379,-2.655,-1.3,0.099,0.883,507.402,2.469,0.693,1.2904986388826
Barbados,2014,753687476.11428,1.2779198884964,19,0.789,0.772,-3.379,-2.655,-1.026,0.099,0.883,505.819,1.39,0.683,1.17649120460552
Barbados,2015,688525943.309105,1.13536131381989,19,0.791,0.769,-3.379,-2.655,-1.026,0.112,0.922,510.609,7.31,0.679,1.22597376975897
Barbados,2016,557500316.04356,0.976609885692596,16,0.794,0.769,-3.379,-2.655,-0.595,0.124,0.922,523.619,5.74,0.683,1.05410024951771
Barbados,2017,91481933.165,0.966827690601349,16,0.796,0.767,-3.379,-2.655,0.204,0.124,0.854,535.465,7.31,0.545,0.967845533532788
Barbados,2018,241596499.9,0.913432478904724,16,0.797,0.773,-2.524,-2.655,-0.202,0.089,0.854,541.877,29.749,0.57,0.755697985062901
Barbados,2019,215370128.6,1.04922747612,16,0.799,0.787,-2.908,-2.655,-1.624,0.078,0.854,549.399,19.819,0.647,0.735037586569048
Bolivia,1996,474100000,-0.134768322110176,16.5,0.609,0.746,0.013,0.313,0.462,0.701,0.679,2626.237,12.43,0.652,-0.163302881152188
Bolivia,1997,730600000,-0.00402953522279859,57,0.62,0.746,-0.208,0.313,1.069,0.717,0.679,2739.838,4.709,0.651,-0.213739157582419
Bolivia,1998,949300000,-0.241092368960381,16.5,0.632,0.747,-0.208,0.313,1.069,0.717,0.679,2851.373,7.674,0.688,-0.0350489668246486
Bolivia,1999,1010500000,-0.43740776181221,57,0.631,0.751,-0.208,0.313,1.069,0.717,0.679,2906.401,2.161,0.656,-0.286034629668842
Bolivia,2000,736350000,-0.23706117272377,59,0.632,0.751,-0.208,0.488,1.739,0.717,0.679,2984.701,4.602,0.65,-0.18219335414851
