country_name,year,FDI4,estabilidad_politica,tiempo_negocios,hdi,v2x_polyarchy,v2cacamps,v2caviol,v2cagenmob,v2x_corr,v2xcl_prpty,e_gdp,e_miinflat,economic_freedom,Factor_gobernanza
Cambodia,1996,293600000,-1.10455310344696,134,0.4,0.372,0.481,0.502,-1.473,0.9,0.553,1500.901,10.066,0.541,-0.810236416949115
Cambodia,1997,203700000,-2.11909532546997,15,0.404,0.372,1.297,0.293,0.113,0.9,0.553,1565.231,3.172,0.528,-0.898106835845764
Cambodia,1998,115871733.049309,-1.26492917537689,19,0.407,0.351,0.443,-0.456,0.2,0.9,0.553,1662.564,14.806,0.598,-0.828054962238761
Cambodia,1999,102225822.011716,-0.573592245578766,52,0.416,0.329,0.443,-0.456,-1.073,0.9,0.553,1803.659,4.008,0.599,-1.02500501097646
Cambodia,2000,118308566.310881,-0.776030659675598,82,0.425,0.323,-0.115,-1.319,-0.822,0.9,0.553,1962.647,-0.792,0.593,-0.785996447251531
Cambodia,2001,146481995.063845,-0.776030659675598,35,0.441,0.321,-0.115,-1.319,-0.822,0.9,0.553,2123.341,-0.601,0.596,-0.756553813442922
Cambodia,2002,130956363.872694,-0.72216534614563,15,0.461,0.322,-0.115,-1.319,-0.822,0.9,0.524,2290.402,3.225,0.607,-0.806566576804151
Cambodia,2003,81580650.5580651,-0.652008533477783,95,0.475,0.324,-0.115,-1.319,0.058,0.9,0.524,2476.83,1.21,0.637,-0.864682810014034
Cambodia,2004,131416229.281784,-0.407748281955719,95,0.488,0.321,-0.115,-1.392,0.058,0.9,0.524,2722.936,3.925,0.611,-0.903364479340807
Cambodia,2005,379180190.600283,-0.393915474414825,87,0.499,0.315,-0.115,-1.392,0.633,0.9,0.524,3004.065,6.349,0.6,-0.983580856431482
Cambodia,2006,483209382.712787,-0.345979183912277,86,0.51,0.315,-0.115,-1.392,0.12,0.9,0.524,3301.672,6.143,0.567,-0.990452437836366
Cambodia,2007,867288538.643543,-0.363606303930283,86,0.521,0.315,-0.115,-1.392,0.12,0.9,0.524,3590.326,7.668,0.559,-0.897644205078876
Cambodia,2008,815180217.958376,-0.298690915107727,102,0.528,0.314,-0.115,-1.392,0.12,0.9,0.524,3828.996,24.997,0.5589537184,-0.936734811267931
Cambodia,2009,928393617.348897,-0.560373842716217,102,0.534,0.309,-0.115,-1.392,0.12,0.9,0.524,3905.531,-0.663,0.5664992926,-0.904466151978735
Cambodia,2010,1404315448.8853,-0.50098443031311,102,0.54,0.308,-0.083,-1.392,0.12,0.9,0.524,4100.728,3.998,0.566,-0.916071612606766
Cambodia,2011,1538883424.90021,-0.304419666528702,102,0.548,0.308,-0.083,-1.392,0.12,0.9,0.524,4365.053,24.997,0.579,-0.875929533412749
Cambodia,2012,1988102944.64495,-0.103577204048634,102,0.555,0.304,0.475,-1.392,0.207,0.9,0.55,4684.721,12.02,0.576,-0.774128089161555
Cambodia,2013,2068470774.00468,-0.136436149477959,101,0.562,0.293,0.195,-1.392,1.507,0.894,0.525,4998.115,6.716,0.585,-0.805270407081277
Cambodia,2014,1853471158.09921,0.0231748018413782,101,0.569,0.292,0.195,-1.233,1.165,0.863,0.525,5343.919,3.998,0.574,-0.760930854264653
Cambodia,2015,1822804151.25712,0.0619422867894173,87,0.574,0.292,0.195,-1.233,0.283,0.863,0.525,5741.723,3.925,0.575,-0.784926277052341
Cambodia,2016,2475915853.65763,0.211037829518318,99,0.581,0.273,0.195,-1.233,0.283,0.863,0.525,6174.856,-3.704,0.579,-0.83976145571128
Cambodia,2017,2788084321.65816,0.0912219732999802,99,0.586,0.232,0.442,-1.233,0.121,0.882,0.525,6605.524,6.251,0.595,-0.834389111122783
Cambodia,2018,3212633447.0447,0.103041842579842,99,0.591,0.214,0.73,-1.233,0.282,0.898,0.525,7024.603,6.709,0.587,-0.846842481179741
Cambodia,2019,3663032999.47048,-0.0894938632845879,99,0.598,0.195,0.73,-1.233,-0.083,0.899,0.525,7378.133,3.998,0.578,-0.773666442916618
Indonesia,1996,6.194e+09,-1.13137912750244,8,0.578,0.191,0.27,0.689,0.985,0.944,0.552,111301.09,6.618,0.61,-0.451356548063806
Indonesia,1997,4.677e+09,-1.13020014762878,42,0.589,0.199,0.27,1.458,0.985,0.944,0.552,113231.964,13.342,0.62,-1.14448637886007
Indonesia,1998,-240800000,-1.73167061805725,24,0.585,0.285,0.537,1.458,3.112,0.853,0.575,106084.135,11.608,0.634,-0.658327927518283
Indonesia,1999,-1865620963.49087,-0.164438739418983,19.5,0.59,0.565,0.688,1.233,3.112,0.777,0.682,104454.994,20.75,0.615,-0.497245209233706
Indonesia,2000,-4550355285.71428,-1.99520063400269,59,0.595,0.675,0.688,1.816,1.541,0.778,0.765,105488.464,3.773,0.552,-0.4690007529659
Indonesia,2001,-2977391857.14286,-0.902563273906708,8.5,0.604,0.675,0.688,1.164,0.93,0.778,0.765,108738.761,11.502,0.525,-0.493322597300282
Indonesia,2002,145085548.722222,-1.58324420452118,8.5,0.612,0.675,0.688,1.419,0.93,0.778,0.765,112236.538,11.798,0.548,-0.709838571616011
Indonesia,2003,-596923827.786241,-2.09539484977722,47,0.621,0.675,0.688,1.232,0.93,0.778,0.765,115716.296,6.773,0.558,-0.689184872449993
Indonesia,2004,1896082770,-1.90860557556152,12.5,0.619,0.689,0.688,1.227,0.93,0.772,0.765,122345.928,6.062,0.521,-0.588091376461908
Indonesia,2005,8336257207.64285,-1.5181759595871,49,0.632,0.698,0.688,1.227,0.93,0.766,0.765,130493.055,10.459,0.529,-0.590820138681429
Indonesia,2006,4914201435.40071,-1.41766691207886,31,0.639,0.698,0.688,0.99,0.93,0.764,0.795,139250.853,13.104,0.519,-0.466241332062633
Indonesia,2007,6928480000,-1.19806575775146,79,0.643,0.7,0.688,0.99,0.93,0.763,0.795,150028.67,6.034,0.532,-0.415370117535707
Indonesia,2008,9318453649.82664,-1.05679154396057,23,0.646,0.702,0.688,0.99,0.93,0.767,0.795,163824.144,9.777,0.5317298994,-0.389136253391785
Indonesia,2009,4877369178.43651,-0.751153647899628,76.9,0.657,0.688,0.688,1.222,0.93,0.765,0.824,177475.062,4.8,0.5341837556,-0.415560665472975
Indonesia,2010,15292009410.5099,-0.853916168212891,42,0.664,0.683,0.904,1.241,0.93,0.764,0.824,193837.059,5.1,0.555,-0.415576979072896
Indonesia,2011,20564938226.7185,-0.770114183425903,26.3,0.671,0.683,0.904,1.557,0.93,0.765,0.828,211160.678,5.1,0.56,-0.385216288046236
Indonesia,2012,21200778607.8727,-0.593262791633606,76.9,0.678,0.683,1.178,1.557,0.93,0.766,0.828,225107.966,6.834,0.564,-0.354063922225452
Indonesia,2013,23281742361.5305,-0.51926463842392,76.9,0.683,0.677,1.178,1.367,0.93,0.77,0.83,235791.806,6.9,0.569,-0.294317557392593
Indonesia,2014,25120732059.5134,-0.416824042797089,53.9,0.687,0.663,1.178,1.367,1.317,0.773,0.79,246254.553,5.303,0.585,-0.122158119039826
Indonesia,2015,19779127976.9576,-0.615060687065125,49.3,0.695,0.655,1.178,1.257,0.678,0.705,0.829,255971.67,5.503,0.581,-0.218106587880378
Indonesia,2016,4541713739.23769,-0.372952431440353,26.3,0.699,0.651,1.401,1.566,1.835,0.71,0.829,266911.922,5.152,0.594,-0.0896259992202567
Indonesia,2017,20510310832.4469,-0.497903406620026,24.5,0.704,0.635,1.401,1.443,1.331,0.716,0.781,276306.306,4.54,0.619,-0.0535148794969574
