,country_name,year,FDI4,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2cacamps,v2caviol,v2cagenmob,v2cademmob,v2x_regime,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_corr,v2x_execorr,v2x_pubcorr,v2x_rule,v2xcl_prpty,v2xcl_acjst,v2x_freexp,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_wbgi_rle,e_wbgi_rqe,e_wbgi_vae,e_gdp,e_gdppc,e_miinflat,e_total_fuel_income_pc,e_total_resources_income_pc
10,Afghanistan,1970.0,230000.0,0.16,0.109,0.037,0.105,0.092,,,,,Closed Autocracy,0.607,0.548,0.441,0.464,0.429,0.449,0.428,0.181,0.318,0.408,,,,,,,2450.991,1.957,,7.49,7.49
11,Afghanistan,1971.0,450000.0,0.16,0.109,0.037,0.105,0.092,,,,,Closed Autocracy,0.607,0.548,0.441,0.464,0.429,0.449,0.428,0.181,0.318,0.408,,,,,,,2402.611,1.873,,7.513,7.513
12,Afghanistan,1972.0,150000.0,0.156,0.108,0.037,0.094,0.092,,,,,Closed Autocracy,0.607,0.548,0.441,0.479,0.429,0.516,0.418,0.181,0.318,0.366,,,,,,,2309.488,1.752,,7.858,7.858
13,Afghanistan,1973.0,270000.0,0.152,0.092,0.042,0.064,0.096,,,,,Electoral Autocracy,0.616,0.564,0.437,0.511,0.398,0.484,0.41,0.183,0.263,0.322,,,,,,,2320.641,1.706,,8.279,8.279
14,Afghanistan,1974.0,,0.103,0.059,0.034,0.064,0.085,,,,,Closed Autocracy,0.656,0.564,0.442,0.513,0.401,0.484,0.4,0.173,0.243,0.21,,,,,,,2376.875,1.699,,10.58,10.58
15,Afghanistan,1975.0,,0.104,0.059,0.035,0.065,0.085,,,,,Closed Autocracy,0.656,0.564,0.442,0.513,0.401,0.484,0.4,0.173,0.243,0.225,,,,,,,2421.531,1.702,,14.272,14.272
16,Afghanistan,1976.0,40000.0,0.104,0.059,0.035,0.067,0.085,,,,,Closed Autocracy,0.656,0.564,0.442,0.513,0.401,0.484,0.4,0.173,0.243,0.225,,,,,,,2482.263,1.707,,14.867,14.867
17,Afghanistan,1977.0,-240000.0,0.101,0.059,0.034,0.041,0.084,,,,,Closed Autocracy,0.656,0.564,0.442,0.513,0.401,0.484,0.4,0.173,0.243,0.225,,,,,,,2494.02,1.685,,18.464,18.464
18,Afghanistan,1978.0,,0.086,0.058,0.031,0.034,0.093,,,,,Closed Autocracy,0.777,0.669,0.511,0.54,0.513,0.563,0.261,0.134,0.267,0.085,,,,,,,2529.372,1.692,,19.217,19.217
19,Afghanistan,1979.0,1200000.0,0.081,0.053,0.02,0.025,0.121,,,,,Closed Autocracy,0.789,0.724,0.521,0.553,0.499,0.547,0.241,0.105,0.215,0.084,,,,,,,2553.426,1.706,,20.353,20.353
