,country_name,year,FDI4,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2cacamps,v2caviol,v2cagenmob,v2cademmob,v2x_regime,v2x_neopat,v2xnp_client,v2xnp_regcorr,v2x_corr,v2x_execorr,v2x_pubcorr,v2x_rule,v2xcl_prpty,v2xcl_acjst,v2x_freexp,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_wbgi_rle,e_wbgi_rqe,e_wbgi_vae,e_gdp,e_gdppc,e_miinflat,e_total_fuel_income_pc,e_total_resources_income_pc
630,Kenya,1980,,0.207,0.114,0.116,0.163,0.136,-1.196,0.482,-0.424,-0.309,Electoral Autocracy,0.828,0.678,0.886,0.885,0.861,0.798,0.14,0.393,0.263,0.239,,,,,,,3790.978,2.161,13.866,0.0,0.012
631,Ghana,1980,,0.542,0.412,0.254,0.308,0.298,0.228,0.667,2.087,2.128,Electoral Democracy,0.435,0.527,0.736,0.705,0.743,0.642,0.515,0.698,0.671,0.7,,,,,,,3233.917,2.648,50.005,5.966,55.348
632,Cyprus,1980,,0.594,0.475,0.359,0.497,0.468,1.116,-1.233,-1.789,-1.538,Electoral Democracy,0.232,0.449,0.214,0.239,0.19,0.159,0.823,0.77,0.823,0.79,,,,,,,722.881,11.394,13.52,0.0,19.632
633,Germany,1980,25335885655.9469,0.867,0.826,0.625,0.829,0.801,-0.61,-1.332,2.197,1.302,Liberal Democracy,0.016,0.019,0.011,0.012,0.01,0.007,0.994,0.938,0.991,0.979,,,,,,,187314.279,23.897,5.447,298.726,303.951
634,Tunisia,1980,,0.196,0.16,0.12,0.188,0.189,1.062,0.764,-2.002,-1.478,Electoral Autocracy,0.64,0.662,0.599,0.525,0.653,0.427,0.544,0.899,0.678,0.256,,,,,,,3255.618,4.778,10.011,586.687,596.723
635,Israel,1980,,0.762,0.685,0.496,0.608,0.606,0.452,0.424,0.449,-0.682,Liberal Democracy,0.085,0.129,0.121,0.154,0.138,0.189,0.929,0.89,0.939,0.845,,,,,,,7211.064,18.057,131.017,14.364,14.364
636,Sudan,1980,,0.175,0.079,0.072,0.068,0.089,-0.054,0.657,0.022,-0.49,Electoral Autocracy,0.741,0.711,0.544,0.557,0.514,0.385,0.345,0.254,0.245,0.224,,,,,,,3366.961,2.123,,0.0,0.8
637,Lesotho,1980,,0.122,0.124,0.052,0.046,0.178,-0.799,0.179,0.573,1.143,Closed Autocracy,0.586,0.663,0.535,0.544,0.58,0.597,0.417,0.544,0.426,0.228,,,,,,,196.888,1.38,16.275,0.0,0.0
638,Gabon,1980,,0.186,0.104,0.076,0.1,0.096,-1.446,-0.887,0.63,-0.842,Closed Autocracy,0.831,0.635,0.845,0.87,0.833,0.858,0.216,0.302,0.497,0.357,,,,,,,977.98,12.583,12.34,8981.351,8982.607
639,Libya,1980,,0.072,0.049,0.044,0.028,0.132,0.53,-0.676,0.34,-0.881,Closed Autocracy,0.889,0.716,0.854,0.863,0.854,0.856,0.094,0.395,0.183,0.047,,,,,,,6817.453,20.404,9.734,20042.36,20042.36
640,Norway,1980,775289575.439245,0.865,0.83,0.635,0.833,0.826,-1.811,-0.732,0.649,-2.113,Liberal Democracy,0.011,0.025,0.006,0.006,0.012,0.008,0.995,0.96,0.983,0.957,,,,,,,11755.782,27.085,10.912,5263.266,5371.39
641,Uganda,1980,,0.151,0.046,0.056,0.072,0.14,1.642,1.651,-1.38,-1.064,Electoral Autocracy,0.901,0.782,0.788,0.798,0.734,0.7,0.135,0.17,0.625,0.221,,,,,,,1181.384,0.914,,0.0,0.13
642,Greece,1980,,0.826,0.732,0.544,0.674,0.686,0.411,0.319,1.763,1.385,Liberal Democracy,0.185,0.289,0.301,0.281,0.315,0.258,0.837,0.923,0.969,0.939,,,,,,,16560.48,16.047,24.746,195.439,269.728
643,United States of America,1980,99867000000.0,0.849,0.783,0.607,0.799,0.67,-0.905,-0.65,0.369,0.529,Liberal Democracy,0.051,0.161,0.031,0.055,0.021,0.041,0.974,0.925,0.954,0.973,,,,,,,806169.488,33.132,,1907.436,1993.958
